timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784281925.2064486,651667.1699999993,-28,50,1006,177,20250
1784281925.4195778,651667.1699999993,-28,50,1006,177,20250
1784281925.6204455,651667.1699999993,-28,50,1006,177,20250
1784281925.8311481,651662.1699999993,-28,50,1006,177,20250
1784281926.0685093,651662.1699999993,-28,50,1006,177,20250
1784281926.282615,651662.1699999993,-28,50,1006,177,20250
1784281926.4826853,651662.1699999993,-28,50,1006,177,20250
1784281926.7001023,651662.1699999993,-28,50,1006,177,20250
1784281926.9184802,651662.1699999993,-28,50,1006,177,20250
1784281927.1598012,651647.1699999993,-28,50,1006,177,20250
1784281927.389889,651647.1699999993,-28,50,1006,177,20250
1784281927.6168487,651647.1699999993,-28,50,1006,177,20250
1784281927.8397164,651647.1699999993,-28,50,1006,177,20250
1784281928.040475,651647.1699999993,-28,50,1006,177,20250
1784281928.273842,651647.1699999993,-28,50,1006,177,20250
1784281928.541908,651649.9699999994,-28,50,1006,177,20250
1784281928.83468,651647.1699999993,-28,50,1006,177,20250
1784281929.061617,651647.1699999993,-28,50,1006,177,20250
1784281929.2972713,651647.1699999993,-28,50,1006,177,20250
1784281929.5428672,651662.1699999993,-28,80,1007,178,20280
1784281929.750441,651662.1699999993,-28,80,1007,178,20280
1784281930.0157416,651662.1699999993,-28,80,1007,178,20280
1784281930.240388,651662.1699999993,-28,80,1007,178,20280
1784281930.4411519,651662.1699999993,-28,80,1007,178,20280
1784281930.6596186,651670.1699999993,-28,80,1007,178,20280
1784281930.874315,651670.1699999993,-28,80,1007,178,20280
1784281931.1003106,651672.9699999994,-28,80,1007,178,20280
1784281931.3370664,651672.9699999994,-28,80,1007,178,20280
1784281931.555989,651672.9699999994,-28,80,1007,178,20280
1784281931.7567484,651672.9699999994,-28,80,1007,178,20280
1784281931.9575367,651672.9699999994,-28,80,1007,178,20280
1784281932.158446,651672.9699999994,-28,80,1007,178,20280
1784281932.3855252,651667.3699999994,-28,80,1007,178,20280
1784281932.586443,651659.3699999994,-28,80,1007,178,20280
1784281932.7871997,651659.3699999994,-28,80,1007,178,20280
1784281932.9880068,651659.3699999994,-28,80,1007,178,20280
1784281933.1888857,651659.3699999994,-28,80,1007,178,20280
1784281933.3897111,651659.3699999994,-28,80,1007,178,20280
1784281933.5904307,651659.3699999994,-28,80,1007,178,20280
1784281933.8032534,651659.3699999994,-28,80,1007,178,20280
1784281934.0181985,651659.3699999994,-28,80,1007,178,20280
1784281934.3650565,651659.3699999994,-28,80,1007,178,20280
1784281934.592098,651662.1699999993,-28,80,1007,178,20280
1784281934.7929075,651678.1699999993,-28,80,1007,178,20280
1784281934.9936674,651672.5699999994,-28,80,1007,178,20280
1784281935.231149,651672.5699999994,-28,80,1007,178,20280
1784281935.466471,651672.5699999994,-28,80,1007,178,20280
1784281935.7047796,651672.5699999994,-28,80,1007,178,20280
1784281935.9215221,651645.7699999993,-28,80,1007,178,20280
1784281936.1342456,651669.7699999993,-28,80,1007,178,20280
1784281936.370438,651672.5699999994,-28,80,1007,178,20280
1784281936.6133087,651648.5699999994,-28,80,1007,178,20280
1784281936.849835,651648.5699999994,-28,80,1007,178,20280
1784281937.050672,651648.5699999994,-28,80,1007,178,20280
1784281937.3017979,651648.5699999994,-28,80,1007,178,20280
1784281937.517946,651648.5699999994,-28,80,1007,178,20280
1784281937.7309916,651648.5699999994,-28,80,1007,178,20280
1784281937.9508977,651648.5699999994,-28,80,1007,178,20280
1784281938.1516912,651672.5699999994,-28,80,1007,178,20280
1784281938.4047005,651678.1699999993,-28,80,1007,178,20280
1784281938.6901217,651683.3699999994,-28,80,1007,178,20280
