timestamp,pnl,cash,posA,posB
1782939912.0898306,5360.001999999971,5363.001999999971,10,-10
1782939917.0899158,5360.301999999971,5360.301999999971,0,0
1782939922.089982,5360.301999999971,5360.301999999971,0,0
1782939927.0899906,5360.301999999971,5360.301999999971,0,0
1782939932.090015,5360.901999999971,5360.901999999971,0,0
1782939937.0901172,5360.901999999971,5360.901999999971,0,0
1782939942.0901923,5360.301999999971,5368.101999999971,-26,26
1782939947.0902734,5357.70199999997,5372.50199999997,-37,37
1782939952.0903618,5354.0019999999695,5378.5019999999695,-49,49
1782939957.0903823,5366.301999999971,5373.70199999997,-37,37
1782939962.0904648,5372.701999999969,5405.901999999969,-83,83
1782939967.0905557,5351.101999999968,5393.101999999968,-60,60
1782939972.0905817,5363.101999999968,5393.101999999968,-60,60
1782939977.0905879,5381.101999999968,5393.101999999968,-60,60
1782939982.0906427,5380.501999999969,5383.501999999969,-10,10
1782939987.0906506,5383.401999999969,5382.801999999969,-3,3
1782939992.0906742,5381.601999999969,5382.801999999969,-3,3
1782939997.0907602,5384.501999999966,5388.301999999966,-19,19
1782940002.0908604,5378.801999999967,5388.301999999966,-19,19
1782940007.0909593,5385.901999999966,5387.301999999966,-14,14
1782940012.0909653,5385.9019999999655,5386.201999999966,-3,3
1782940017.091056,5386.201999999966,5386.201999999966,0,0
1782940022.0911007,5386.201999999966,5386.201999999966,0,0
1782940027.0911293,5390.801999999965,5390.801999999965,0,0
1782940032.0911682,5390.801999999965,5390.801999999965,0,0
1782940037.0911698,5390.801999999965,5390.801999999965,0,0
1782940042.0912514,5392.301999999967,5405.101999999966,-32,32
1782940047.0912633,5389.201999999967,5415.101999999966,-37,37
1782940052.0913239,5404.001999999966,5415.101999999966,-37,37
1782940057.0914192,5400.301999999966,5415.101999999966,-37,37
1782940062.091483,5400.601999999966,5415.401999999966,-37,37
1782940067.0915341,5409.501999999967,5412.101999999967,-26,26
1782940072.0915642,5410.101999999967,5409.801999999967,-3,3
1782940077.0916357,5410.101999999967,5410.101999999967,0,0
1782940082.0917335,5410.101999999967,5410.101999999967,0,0
1782940087.0918086,5405.901999999967,5415.701999999967,14,-14
1782940092.0918741,5406.101999999967,5428.301999999967,37,-37
1782940097.159095,5417.601999999968,5422.801999999967,26,-26
1782940102.1591249,5420.201999999967,5420.201999999967,0,0
1782940107.1591473,5421.701999999967,5421.101999999968,3,-3
1782940112.1592112,5420.801999999967,5420.801999999967,0,0
1782940117.1592603,5421.401999999967,5421.401999999967,0,0
1782940122.1593306,5421.401999999967,5421.401999999967,0,0
