timestamp,buy_venue,sell_venue,gap,units,reducing
1786138141.1258779,OB5X_202706_F,OB5X_ETF,0.0375,38,1
1786138144.2328715,OB5X_ETF,OB5X_202612_F,0.0617,48,1
1786138144.364571,OB5X_202706_F,BASKET,0.068,23,1
1786138156.914749,OB5X_202612_F,OB5X_ETF,0.0365,48,1
1786138168.6024168,BASKET,OB5X_202706_F,0.1949,24,1
1786138172.5138447,OB5X_202703_F,BASKET,0.1173,9,1
1786138175.156106,OB5X_ETF,BASKET,0.2812,1,0
1786138179.4230847,OB5X_ETF,OB5X_202612_F,0.0683,47,1
1786138201.379978,BASKET,OB5X_202703_F,0.024,9,1
1786138205.330837,OB5X_202612_F,BASKET,0.1043,8,1
1786138253.9274745,OB5X_202706_F,BASKET,0.2138,1,0
1786138256.9168131,OB5X_202612_F,OB5X_ETF,0.1267,48,1
1786138259.9232388,OB5X_ETF,OB5X_202612_F,0.4738,15,1
1786138260.7222664,BASKET,OB5X_202612_F,0.0224,9,1
1786138261.4187212,OB5X_ETF,OB5X_202612_F,0.8728,33,1
1786138271.3970416,OB5X_202703_F,BASKET,0.2366,8,1
1786138290.926942,OB5X_202706_F,BASKET,0.1169,1,0
1786138293.0931756,OB5X_202612_F,OB5X_ETF,0.3136,48,1
1786138299.4142907,OB5X_ETF,OB5X_202612_F,0.2886,48,1
1786138324.848429,BASKET,OB5X_202703_F,0.5914,9,1
1786138331.0010757,OB5X_202706_F,BASKET,0.1356,8,1
1786138331.2514472,OB5X_202706_F,BASKET,0.1354,1,0
1786138367.3766277,BASKET,OB5X_202706_F,0.2341,9,1
1786138384.9411852,OB5X_202612_F,OB5X_ETF,0.2147,48,1
1786138389.846384,OB5X_ETF,BASKET,0.0645,8,1
1786138394.4245875,OB5X_ETF,OB5X_202612_F,0.3868,40,1
1786138410.8189576,OB5X_202612_F,BASKET,0.2553,1,0
1786138416.8903577,BASKET,OB5X_202703_F,0.4224,9,0
1786138417.3854778,OB5X_202703_F,BASKET,0.0682,8,1
1786138417.4429774,OB5X_202706_F,BASKET,0.2135,1,0
1786138429.2115538,OB5X_202703_F,OB5X_ETF,0.0337,48,1
1786138432.4267669,OB5X_ETF,OB5X_202703_F,0.0703,48,1
1786138447.581666,OB5X_202703_F,BASKET,0.1097,18,0
1786138447.68133,OB5X_202706_F,BASKET,0.161,1,0
1786138459.3049588,BASKET,OB5X_202703_F,0.0978,28,1
1786138488.052759,OB5X_202706_F,BASKET,0.5602,4,1
1786138502.0400689,BASKET,OB5X_202612_F,0.1278,4,0
1786138565.4665022,OB5X_202703_F,BASKET,0.1,4,1
1786138585.1994658,BASKET,OB5X_202703_F,0.1063,4,0
1786138595.0608387,OB5X_202703_F,BASKET,0.0044,4,1
1786138625.121851,BASKET,OB5X_202706_F,0.1227,4,0
1786138634.4160364,OB5X_202703_F,BASKET,0.1863,4,1
1786138635.333028,OB5X_202703_F,OB5X_ETF,0.7568,46,1
1786138635.3710482,OB5X_202612_F,OB5X_ETF,0.743,2,0
1786138636.8767617,OB5X_ETF,OB5X_202703_F,0.2353,48,1
1786138658.7869697,BASKET,OB5X_202706_F,0.1583,4,0
1786138662.238936,OB5X_202703_F,OB5X_ETF,0.0701,48,1
1786138670.0237308,OB5X_ETF,OB5X_202703_F,0.0321,48,1
1786138673.1904497,OB5X_202706_F,BASKET,0.1275,4,1
1786138673.2422945,OB5X_202706_F,OB5X_ETF,0.1104,48,1
1786138676.3623116,OB5X_ETF,OB5X_202706_F,0.4794,48,1
