timestamp,pnl,pnl_arb,pnl_opt,pnl_hedge,delta,gamma,band_eff,u_etf,u_basket,u_f612,u_f703,u_f706,hedge_pos,fills,arbs,lots,n_quotes,quoted_vol
1786151716.6805124,3756167.7389999977,4039,578,-126,-4.6,0.5224,7.34,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151717.191074,3756180.0389999975,4039,578,-126,-4.6,0.5224,7.34,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,5,133
1786151717.7070248,3756152.538999998,4040,575,-124,-4.62,0.5232,7.33,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151718.2136366,3756137.1389999986,4038,575,-124,-4.62,0.5232,7.33,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151718.7303605,3756171.3389999988,4063,575,-124,-4.62,0.5232,7.33,-23.75,17.81,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151719.2374105,3756168.738999998,4056,570,-118,-4.67,0.5246,7.32,-23.75,17.8,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151719.752924,3756168.738999998,4056,570,-118,-4.67,0.5246,7.32,-23.75,17.8,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151720.2597659,3756160.538999998,4055,564,-112,-4.73,0.5261,7.31,-23.75,17.81,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151720.765193,3756163.6389999976,4050,564,-112,-4.73,0.5261,7.31,-23.75,17.81,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151721.2719336,3756190.238999998,4050,564,-112,-4.73,0.5261,7.31,-23.75,17.81,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151721.7852128,3756177.038999998,4056,564,-112,-4.73,0.5261,7.31,-23.75,17.84,-38.24,40.56,-3.06,-57,3876,1011,141436,5,133
1786151722.2960315,3756177.138999998,4056,564,-112,-4.73,0.5261,7.31,-23.75,17.84,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151722.8009257,3756202.0389999985,4059,564,-112,-4.73,0.5261,7.31,-23.75,17.86,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151723.3155243,3756202.0389999985,4054,564,-112,-4.73,0.5261,7.31,-23.75,17.84,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151723.8171587,3756202.0389999985,4051,570,-118,-4.67,0.5246,7.32,-23.75,17.8,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151724.3302498,3756188.4389999984,4045,578,-126,-4.6,0.5224,7.34,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151724.8325343,3756161.038999998,4045,578,-126,-4.6,0.5224,7.34,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,5,126
1786151725.3495324,3756117.538999998,4023,575,-121,-4.65,0.5239,7.32,-23.75,17.75,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151725.86746,3756117.538999998,4012,575,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,5,126
